"id","name","type_tax_use","amount","amount_type","price_include_override","include_base_amount","description","tax_group_id","fiscal_position_ids","replacing_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"tax_iva_10_ventas","IVA 10% Ventas","sale","10.0","percent","tax_included","False","IVA 10% Ventas","tax_group_iva_10","","","base","invoice","","100"
"","","","","","","","","","","","tax","invoice","py_2_01_03_03","100"
"","","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","","tax","refund","py_2_01_03_03","100"
"tax_iva_5_ventas","IVA 5% Ventas","sale","5.0","percent","tax_included","False","IVA 5% Ventas","tax_group_iva_5","","","base","invoice","","100"
"","","","","","","","","","","","tax","invoice","py_2_01_03_03","100"
"","","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","","tax","refund","py_2_01_03_03","100"
"tax_exentas_ventas","Exentas Ventas","sale","0.0","percent","tax_included","True","Exentas Ventas","tax_group_exentas","fp_exterior,fp_diplomatico","tax_iva_10_ventas,tax_iva_5_ventas","base","invoice","","100"
"","","","","","","","","","","","tax","invoice","py_2_01_03_03","100"
"","","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","","tax","refund","py_2_01_03_03","100"
"tax_iva_10_compras","IVA 10% Compras","purchase","10.0","percent","tax_included","False","IVA 10% Compras","tax_group_iva_10","","","base","invoice","","100"
"","","","","","","","","","","","tax","invoice","py_1_01_03_05_03","100"
"","","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","","tax","refund","py_1_01_03_05_03","100"
"tax_iva_5_compras","IVA 5% Compras","purchase","5.0","percent","tax_included","False","IVA 5% Compras","tax_group_iva_5","","","base","invoice","","100"
"","","","","","","","","","","","tax","invoice","py_1_01_03_05_03","100"
"","","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","","tax","refund","py_1_01_03_05_03","100"
"tax_exentas_compras","Exentas Compras","purchase","0.0","percent","tax_included","True","Exentas Compras","tax_group_exentas","","","base","invoice","","100"
"","","","","","","","","","","","tax","invoice","py_1_01_03_05_03","100"
"","","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","","tax","refund","py_1_01_03_05_03","100"
